Query	predict_lb	predict_tag	true_lb	true_tag
в тула в группа финансы долго не приходить новый клиент менеджер долго сидеть в готове	5	Единое Рабочее Место (ЕРМ) Ошибка	5	Единое Рабочее Место (ЕРМ) Ошибка
в тула массово не открываються карточка в компания итм новый владимир группа издание финансы	5	Единое Рабочее Место (ЕРМ) Ошибка	5	Единое Рабочее Место (ЕРМ) Ошибка
в тула массово не приходить клиент демо доступ пин пример 4859823601 доступ не приходить по ссылка на издание клиент не мочь активировать дд	4	Другое	3	Демодоступы (ДД) Доступы
в тула массово не работать ерм	5	Единое Рабочее Место (ЕРМ) Ошибка	5	Единое Рабочее Место (ЕРМ) Ошибка
поступать звонок когда оператор в статус не готовый оператор 8753 номер 4951500191 приходить на линия service_e izdaniya_perevod звонок 1661932734 7555211 оператор быть в не готове на он распределяться звонок скрин во вложение	13	Телефония Ошибка	13	Телефония Ошибка
в украинский система проникать 145 й сделать разработчик пользователь находить учинять скандал оля гордейчук он 6 число удалять 145 2900 n a чистить 06 10 2022 12 31 19 gos 3715380 production ua 7 число какой то образ он попадать в автопубликация и снова ехать на бой 145 2900 укр главбух 80 удачно 07 10 2022 21 05 53 07 10 2022 21 21 31 autopublicemag 3724009 production ua 145 2900 укр главбух вип 81 удачно 07 10 2022 21 05 53 07 10 2022 21 21 31 autopublicemag 3724009 production ua 145 2900 укр главбух плюс 244 удачно 07 10 2022 21 05 53 07 10 2022 21 21 31 autopublicemag 3724009 production ua я он сегодня еще раз удалять но это уже не дело 2 раз подряд пользователь тыкать нос в один и тот же ошибка ожидать результат удаленный материал не попадать на сайт	4	Другое	12	Справочные системы Ошибка
в установленный zoom нет личный контакт просьба добавлять ws am 720 устинов актион мцфэр ws am 971 старшинов актион мцфэр	4	Другое	9	Рабочее место / компьютер Подключение
важенин полина олеговна 5293527401 polinary98 mail ru продлять пожалуйста доступ к система юрист до 19 10	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
важно просьба вернуть роль безопасность ранее согласованный для руководитель группа вчера вечер они кто то подчистую удалять задача приоритетный работать не мочь пуклаков анна васильевна бабушкин александр викторович	7	Корпоративный портал (Bitrix24) Ошибка	1	АРМ оператора (SD) Доступы
вандышев татьяна васильевна tatiana vandyshewa yandex ru адвокат 3758456801 3дня дд	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
васильева елизавета владимировна id 119924 пи вход в учетка у ученик быть указывать не ее имя быть указывать васильев елена владимировна нужно чтобы быть елизавета владимировна	4	Другое	7	Корпоративный портал (Bitrix24) Ошибка
васильева елизавета владимировна id 119924 предоставлять пожалуйста логин и пароль предыдущий не работать	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
вечер добрый в очередной раз подобный проблема nsk 092 номер компьютер и 4281 добавочный номер nsk 090 номер компьютер nsk 120 номер компьютер и 4453 добавочный номер отправлять демка и вот это вот случаться она демка не доходить я ничто посмотреть не мочь а потом просто выкидывать nsk 110 номер компьютер и 4406 добавочный номер	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
виноградов алла allalena list ru юрист 2745858401 3 день	4	Другое	3	Демодоступы (ДД) Доступы
виноградов алла allalena list ru юрист 2745858401 дд3 день	4	Другое	3	Демодоступы (ДД) Доступы
виртуальный рабочий место пользователь hq nlizakova в процесс работа программа становиться выдавать ошибка заканчиваться место на диск с файл открывать с сервер ww и neptun туда же и сохранять непонятно куда израсходоваться свободный место	8	Рабочее место / компьютер Ошибка	9	Рабочее место / компьютер Подключение
власов станислава st vlasov pressh ru бабаян карен ka babajan pressh ru епифанова дарья da epifanova pressh ru не приходить письмо с доступ на портал просить решать срочно т к нужный доступ к ерм	4	Другое	6	Корпоративный портал (Bitrix24) Доступы
внезапно пропадать выбор подразделение при просмотр табель учет рабочий время https backoffice action mcfr ru timetable см скрин по правильный я должный видеть табель для подразделение корпоративный сервисный центр актион 360	4	Другое	7	Корпоративный портал (Bitrix24) Ошибка
во время звонок в автодозвон у менеджер не прогружаться скрипт проблема массовый просьба решать скоро	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
добрый утро не запускаться приложение cctray перезагрузка и выключение компьютер не помогать в воронежский филиал у ученик глазок антон vrz048 и щетинин елена vrz024 просьба починять т к нет возможность начинать работа	4	Другое	13	Телефония Ошибка
во весь клиент у менеджер пропадать базовый цена на продукт в мастер заказ так же нету цена на сс просить проверять пример менеджер yusharonova pressh ru клиент пин 4130844401	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
во весь система не работать поисковый строка скрин прикладывать	4	Другое	12	Справочные системы Ошибка
во весь система не прогружаться стартовый страница http joxi ru bmowzj4uodl97m http joxi ru d2pzyv5cw0wkrr http joxi ru 1a5nxvpt4vwgwr поиск работать очень медленно быстрый ответ нет http joxi ru brrr5vwhbk8yqr	12	Справочные системы Ошибка	12	Справочные системы Ошибка
возникать ошибка при размещение пост в группа скриншот прикладывать пк klg039 hq nignatova	7	Корпоративный портал (Bitrix24) Ошибка	7	Корпоративный портал (Bitrix24) Ошибка
волгушево людмила 4720139501 volgusheva bass s ru продлять пожалуйста доступ к система охрана труд до 06 10	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
волгушево людмила 4720139501 volgusheva bass s ru продлять пожалуйста доступ к система охрана труд до 06 10	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
вопрос не решать пин 763937301 приглашение не принимать ошибка	4	Другое	2	АРМ оператора (SD) Ошибка
воробьев наталья сергеевна nataliyas vorobieva yandex ru юрисконсульт 3107765201 дд 3 день	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
восстанавливать пж доступ к арм давно не пользоваться сейчас по ярлык на рабочий стол не зайти некорректный путь писать нужный для поиск история по клиент и прослушка звонок спасибо	1	АРМ оператора (SD) Доступы	1	АРМ оператора (SD) Доступы
весь версия охрана труд вести на оптимальный	12	Справочные системы Ошибка	12	Справочные системы Ошибка
все равный не заходить в ерм компьютер zao06404	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
весь система украина 404 ошибка выходить на ру язык в сообщение об ошибка в предложение переходить по ссылка подставляться не то название раздел должно быть не рекомендация а консультації пример на система держипраци https 1dz vip expertus ua document 184 корректный текст сообщение об ошибка должный быть такой помилка 404 сторінку не знаходить вибачта такої сторінки не існує щоба продовжить робот ви мочь переходить в розділ консультації гиперссылка на соответ раздел	12	Справочные системы Ошибка	12	Справочные системы Ошибка
весь украинский система лежать и ешки http joxi ru dr8lvp8tkodpqr	4	Другое	12	Справочные системы Ошибка
весь украинский система не работать 504 ошибка http joxi ru majnjdkcd9b96a https 1dz 1expertus com ua https 1k vip 1expertus com ua и др проблема общий и у редактор и продавец и клиент	12	Справочные системы Ошибка	12	Справочные системы Ошибка
второй день не мочь выгружать документ для отправка контрагент через диадок сначала документ висеть в очередь отправка потом картина низкий во вложенный файл	4	Другое	2	АРМ оператора (SD) Ошибка
добрый день у менеджер длительный ожидание статус готовый хотя персональный звонок в очередь быть кука и кеш чистить не помогать пирожок владимир сергеевич cctray3458 vpirozhkov pressh ru номер компьютер для подключение rzn 73	4	Другое	13	Телефония Ошибка
выбивать из программа статистика сайт 1gl ru писать отказывать в доступ просить восстанавливать доступ к 1gl ru	4	Другое	12	Справочные системы Ошибка
выдавать ошибка скрин во вложение заходить под логин aamerkaeva пароль qazwsx1234 коллега под этот рег данные работать без проблема у я же возникать ошибка при поиск данные о диплом слушатель 1 находить слушатель по эл почта копировать он bitrix id 2 далее выбирать личный кабинет школа рабочий место по закрытие группа и выдача диплом удостоверение 3 вводить id слушатель нажимать получать давать 4 а далеко не пускать выдавать ошибка рано до 05 08 2022 такой ошибка не возникать	4	Другое	2	АРМ оператора (SD) Ошибка
выдавать ошибка ерм и зависать нет возможность создавать заявка через ерм менеджер	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
выдавать пж 5 обезличенный доступ не редакторский а как у партнер ко весь система украина и россия если нужный допы данные уточнять какой спасибо	4	Другое	11	Справочные системы Доступы
выдавать пж необходимый право для настройка в рамка регламент https conf action media ru pages viewpage action pageid 308283288 на сейчас доступ нет http joxi ru e2p0og8tvdeqa2	4	Другое	1	АРМ оператора (SD) Доступы
выдавать пожалуйста доступ на чтение к папка spps action crm local report мцфэр пресс 1 отчет 06 аудиоконтроль танкеев	10	Сетевые папки Доступы	10	Сетевые папки Доступы
выключаться компьютер ph026 рабочий место 073 деменев еа и не включаться	4	Другое	9	Рабочее место / компьютер Подключение
выключаться удаленный рабочий стол через экран завершение работа не мочь подключаться обратно работать с вордовский файл очень важный несохраненный изменение пожалуйста включать комп так чтобы там все по максимум сохраняться	4	Другое	8	Рабочее место / компьютер Ошибка
вылетать ерм пк ulas243 писать недостаточно память закрываться при это сс трей и только перезагрузка	5	Единое Рабочее Место (ЕРМ) Ошибка	5	Единое Рабочее Место (ЕРМ) Ошибка
добрый день просьба проверять оператор 8920 во время поствызов приходить звонок с номер 4822655034 в 10 50 звонок с данный номер приходить на линия 1657180174 4982721 service_pechatka скрин во вложение	4	Другое	13	Телефония Ошибка
коллега кратный увеличиваться количество недозвон у сотрудник просьба решать проблема пример номер до который не смочь дозваниваться 89172780873 89109716899 89106610138 89107334426 89107334426 89107334426 89109716899 89107487451 89106610138 89100006561 89100006561 89100006561 89153910984 89107334426	4	Другое	13	Телефония Ошибка
добрый день сотрудник не отражаться в очередь входящий линия монитор ерм просить проверять веретенников наталия тело 4916 настройка приоритет для входить звонок 1 приоритет очередь mcfr_seminar 2 приоритет очередь mcfr_periodika	4	Другое	13	Телефония Ошибка
выходить обновление комп обновлять пожалуйста tvr052 бабин виталий александрович babin action press ru tvr051 бабин ирина васильевна triboy action press ru tvr068 герман елена валентиновна german action press ru tvr056 орлов юлия руслановна yus orlova action press ru tvr055 захаров дмитрий васильевич d zakharov action press ru	4	Другое	8	Рабочее место / компьютер Ошибка
вышеславов никита vysheslavov nik mail ru юрисконсульт 6826038001 дд 3дня	4	Другое	3	Демодоступы (ДД) Доступы
гавриш елена ustylena mail ru юрисконсульт 3785795901 дд 3 день юссы	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
галафеева анна николаевна 6280861301 galafeeva a yandex ru продлять пожалуйста доступ до 13 10 включительно на система юрист	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
геряк март орестовна 6727374801 geryak636 mail ru продлять пожалуйста доступ до 13 10 включительно на система юрист	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
глазов ирина александровна irina7 77 mail ru юрист 2829328101 дд 3 день	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
гореть плашка в правый нижний угол об активация виндоусый просить убирать имя устройство am109329 полный имя устройство am109329 hq icfed com	4	Другое	8	Рабочее место / компьютер Ошибка
горяченков татьяна 6183747701 uyrmbu mail ru просьба продлять дд на 3 день	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
горяченков татьяна 6183747701 uyrmbu mail ru продлять пожалуйста доступ к система юрист до 27 10	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
грабовский михаил васильевич 3709477001 m grabovsky mail ru продлять пожалуйста доступ к система юрист до 25 10	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
григоров артем игоревич hq agrigorov agrigorov action press ru 4206 tvr mng 74 ошибка при добавление номер в карточка пин 3172424001	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
григорян инга 4037576201 inga advokat mail ru продлять пожалуйста доступ к система юрист до 30 09	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
гуляев анастасия gulyaeva_ag mail ru юрисконсульт 5886730501 3дня дд	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
давыдов дарья валентиновна audit polisorb com юрист 3111604801 3дн дд юссы	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
давать пожалуйста логин и пароль для доступ в бэкофис стартовый страница http bo startpage actiondigital ru login для iivannikov mcfr ru	11	Справочные системы Доступы	11	Справочные системы Доступы
давать пожалуйста доступ на чтение к папка spps action crm local report актион пресс 00_отчет и весь вложенный	10	Сетевые папки Доступы	10	Сетевые папки Доступы
давать пожалуйста логин и пароль для доступ в бэкофис стартовый страница	4	Другое	11	Справочные системы Доступы
давать пожалуйста пароль для доступ в бэкофис стартовый страница http bo startpage actiondigital ru login для iivannikov mcfr ru логин iivannikov	11	Справочные системы Доступы	11	Справочные системы Доступы
данилов иван николаевич 5269274901 iva5421 yandex ru продлять пожалуйста доступ к система юрист до 11 08	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
данный ссылка не находиться на партнерский форум паhttps home action mcfr ru services forum messages forum294 message507176 70056 partnerskiy sezd 2022 result new message507176 возможный открытие только по ссылка ветка должный быть видный тут https home action mcfr ru services forum group38	7	Корпоративный портал (Bitrix24) Ошибка	7	Корпоративный портал (Bitrix24) Ошибка
данченко кирилл константинович danchenko kirill svyaznoy ru юрисконсульт 6719269301 дд 3 день	4	Другое	3	Демодоступы (ДД) Доступы
давать доступ на портал к заявка в it руководитель группа адаптация леднева а hq asledneva	6	Корпоративный портал (Bitrix24) Доступы	6	Корпоративный портал (Bitrix24) Доступы
639797665 иды звонок квакать телефония весь звонок с перебой tvr edu 02 захаров дмитрий васильевич d zakharov action press ru пин 3888378001 заявка не создаваться к менеджер крутить колесо при завод обращение и все зависать	13	Телефония Ошибка	13	Телефония Ошибка
дд у весь менеджер кс1 украина не работать ерм скрин во вложение	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
дд ученик не поступать звонок почта efadeeva960 gmail com сстро 4734	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
дд комп ам108690 к принтер 1104_hp_635 на print01 hq icfed com пожалуйста подрубать	4	Другое	9	Рабочее место / компьютер Подключение
деев александр юрьевич deevaleksandr24 gmail com юрист 3889769901 3 день просьба продлять доступ до 10 06	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
деева светлана сергеевна 2908654801 sv s deeva gmail com продлять доступ к система юрист до 14 09 2022	3	Демодоступы (ДД) Доступы	3	Демодоступы (ДД) Доступы
действие 2409466414 кампания мп_нп_п_госфинансы_робот выпадать скрипт который никакой образ не подтягивать в кампания в кампания указывать скрипт мп_госфинансы робот скрин 1 выпадать скрипт с номер вопрос 10054 скрин 2 относиться к скрипт мп_нп_п_уу_скрипт_гф скрин 3 просматривать запись экран менеджер в момент выпадение звонок быть открывать карточка клиент принимать звонок и появляться скрипт но не тот что должный быть в кампания почему	5	Единое Рабочее Место (ЕРМ) Ошибка	5	Единое Рабочее Место (ЕРМ) Ошибка
день добрый в пятница 28 10 22 до 15 00 по мск у я быть доступ в арм оператор norbit crm action callcenter после переключение на домен action kz со старый данные hq домен переставать пускать писать что нет такой пользователь yeritenko с новый данные скрин во сложение выдавать ошибка проверять правильность логин и пароль 1 хотеться бы понимать данный проблема связывать с переключение на новый домен или так совпадать что отключать весь менеджер и др пользователь можно это как то выяснять 2 необходимо сделать доступ можно базовый для аккаунт yeritenko я он нужный для проверка доступность сервис из казахстанский офис и для сверка логинов и пр данный учетки пользователь	4	Другое	1	АРМ оператора (SD) Доступы
добрый день коллега звонок иды 664713665 подгрузиться не в верный действие должный быть в действие 2444421617 а погружаться в действие 2440210110 номер комп менеджер orb095 скрин из сстро во вложение	13	Телефония Ошибка	13	Телефония Ошибка
джоб cc_np_bss назван кампания лида_бсс_вип почему не падать первичный звонок менеджер антропов дарья абдулаев дмитрий дубаносов татьяна мамазияй роман кириллов максим нестерович антон просвиров анастасия только перезвон падать	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
джунусова айнура хусаиновна не получаться сменить пароль на корпоративный портал просьба помогать	7	Корпоративный портал (Bitrix24) Ошибка	8	Рабочее место / компьютер Ошибка
дисковод не видеть карта	4	Другое	8	Рабочее место / компьютер Ошибка
длбрый день коллега просить предоставлять доступ к корп портал аверьянов валентина александровна id 36944	6	Корпоративный портал (Bitrix24) Доступы	7	Корпоративный портал (Bitrix24) Ошибка
длительный ожидание rzn07 белов алексей	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
длительный ожидание rzn34 смирнов мария	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
для hq eshalimova нужный доступ в арм роль по аналогия с hq antimofeeva	1	АРМ оператора (SD) Доступы	1	АРМ оператора (SD) Доступы
для зырянова денис у некоторый ученический укд в арм личный данные школа курсы статус личный дело пропадать снилс не отображаться в перечень в пакет снил предусматривать поэтому в перечень должный быть даже если не загружать пример укд 1 нет снилс в перечень документ в арм при это снилс не загружать 0050 1615 5546 4583 3533 2 есть снилс в перечень документ в арм при это снилс также не загружать 0050 5187 3011 3586 5865 скрин во вложение	14	Школы Ошибка	2	АРМ оператора (SD) Ошибка
для рг hq eshalimova и hq nmakhmudijarova нужный доступ к hq icfed com dfs video_obratnoi_svyazi_rgp	4	Другое	10	Сетевые папки Доступы
для ркц hq plotnikova нужный на портал доступ к создание группа	6	Корпоративный портал (Bitrix24) Доступы	6	Корпоративный портал (Bitrix24) Доступы
для сотрудник меледяхин александр андреевич броцкий кирилл александрович необходимо заменять интерфейс в service desk на новый	4	Другое	1	АРМ оператора (SD) Доступы
добрый день просьба проверять почему у оператор 8753 tula292 быть сброс 4 звонок подряд быть 1 гудок и сразу сброс звонок быть с 14 15 14 16 14 22 14 25 и везде стоять сервер	4	Другое	13	Телефония Ошибка
добавлять новый пользователь в группа ww_group_sruk соловов мария витальевна msolovova mcfr ru открывать доступ на neptun группа neptun_redactors_cult ppr_redactors	4	Другое	10	Сетевые папки Доступы
добавлять новый пользователь в ww ярков дарья олеговна djarkova action media ru добавлять в группа ww_group_spp открывать доступ на neptun группа neptun_redactors_edu	10	Сетевые папки Доступы	10	Сетевые папки Доступы
добавлять новый пользователь в ww анна аржакова николай звуйковский в группа ww_group_ot	10	Сетевые папки Доступы	10	Сетевые папки Доступы
добавлять пользователь в ww 1 кристина кирик kkirik action media ru в группа ww_group_srou доступ на neptun группа neptun_redactors_edu ppr_redactors 2 александр переслегин apereslegina action media ru в группа ww_group_ndou и ww_group_vo_uou доступ на neptun группа neptun_redactors_edu ppr_redactors 3 инякина анна ainjakina mcfr ru в группа ww_group_gz доступ на neptun группа neptun_redactors_gz ppr_redactors	4	Другое	10	Сетевые папки Доступы
добавлять пожалуйста к мой учеток 1obraz ru mail ru доступ к вип версия бсс vip 1gl ru	4	Другое	11	Справочные системы Доступы
добавлять пожалуйста к мой учеток 1obraz ru mail ru доступ к вип версия ксс vip 1kadry ru	4	Другое	11	Справочные системы Доступы
доборый день рабочий компьютер очень сильно тормозить очень долго открываться страница и файл посомтрит пожалст что он надо вроде не много различный файл на стол что от я требоваться	4	Другое	9	Рабочее место / компьютер Подключение
добрый день poljakovai pressh ru просить предоставлять возможность создавать заявка в it orb318	6	Корпоративный портал (Bitrix24) Доступы	6	Корпоративный портал (Bitrix24) Доступы
добрый время сотка коллега у мы не подгружать клиент очень долго терять время на это	2	АРМ оператора (SD) Ошибка	5	Единое Рабочее Место (ЕРМ) Ошибка
добрый время сутки коллега на компьютер с номер nsk 011 нужно поставлять icq	4	Другое	9	Рабочее место / компьютер Подключение
добрый время сутки sos просьба оперативно среагировать клиент жаловаться на отсутствие доступ к мобильный версия экспертус медицина и кадр в медицина также не рабатать моб версия для редакторский доступ заранее благодарный за помощь в решение вопрос	4	Другое	12	Справочные системы Ошибка
добрый время сутки на 4 ом этаж нужно место переставлять компьютер для новый руководитель и настраивать они для пользование	4	Другое	9	Рабочее место / компьютер Подключение
добрый время сутки коллега не грузиться система ни у оператор не и клиент нет возможность провожать презентация критично важно решать в близкий время	12	Справочные системы Ошибка	12	Справочные системы Ошибка
добрый время сутки просьба решать проблема она критичный сломаться сайт наш все у мой оператор слетать презентация не мочь входить на сайт	4	Другое	12	Справочные системы Ошибка
добрый день просить открывать доступ в бэкофис описание продукт анонс номер промой слово договор распоряжение коммерческий предложение приказ по цена служебный записка скрин прикреплять	4	Другое	6	Корпоративный портал (Bitrix24) Доступы
добрый день просить предоставлять доступ к папка hq icfed com dfs epsylon группа маркетинг marketing obrazovanie тн образование обучение	4	Другое	10	Сетевые папки Доступы
добрый день для работа в инокпи просьба устанавливать шрифт на рабочий комп редактор джамал рабаданова номер комп 06759 шрифт лежать в zao06277 ps_in techreq _fonts _all это достаточно срочно он сейчас замещать главред на время ее отпуск и без шрифт не мочь корректно работать в наш верстальный программа	4	Другое	9	Рабочее место / компьютер Подключение
добрый день в в новосибирский филиал у часть сотрудник не корректно работать ерм прилетать звонок ерм закрывать карточка в cctrayзвонок продолжаться просьба помогать добавочный 1429 барабан владислав андреевич номер машина nsk 051	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
добрый день в новосибирский филиал у часть сотрудник не корректно работать ерм прилетать звонок ерм закрывать карточка в cctrayзвонок продолжаться просьба помогать добавочный 4569 филиппов дмитрий сергеевич номер машина nsk 043	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
добрый день в система промбезопасность органичный доступ к некоторый материал	4	Другое	11	Справочные системы Доступы
добрый день просить помогать с проблема отсутствие подключение сстро через ерм не активироваться сиситрей при вход в ерм перезагружать сиситрый компьютер ерм не приносить результат nsk 001	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
добрый день не выставляться счет по иц пк orb202 вход sagorbunova pressh ru просить не присыласть инструкция текст комментарий коллега ваш менеджер для создание заявка по проблема в ерм необходимо использовать соответствующий кнопка в ерм сообщение об ошибка создавать заявка через этот кнопка у вы автомат подтягиваться весь данные менеджер фио номер кампания и т п и это ускорять решение заявка если вы еще не знать как настраивать и пользоваться этот кнопка то в этот пост есть весь информация https home action mcfr ru company personal user 108621 blog 649832 текущий заявка закрывать и ждать от вы заявка создавать по кнопка сообщение об ошибка если у сотрудник выходить ошибка отсутствовать очередь у руководитель группа необходимо обращаться к координатор для настройка очередь не работать	4	Другое	5	Единое Рабочее Место (ЕРМ) Ошибка
добрый день у я не работать менеджер пакет tag egitor просить срочно починять влиять на воронка продажа мой логин avmelnikova по этот путь hq icfed com dfs actiond software update packetmanager update gui exe выдавать ошибка скрин во вложение	11	Справочные системы Доступы	11	Справочные системы Доступы
добрый день нужный помощь у мой сотрудник nn 202 в нижний новгород отваливаться cctray руководитель сотрудник не мочь создавать обращение так как зависать компьютер мочь помогать сотрудник не мочь звонить	4	Другое	13	Телефония Ошибка
добрый день на компьютер orb208 постоянно все зависать и невозможно работать подключаться посмотреть пожалуйста мочь что то настраивать можно чтобы стабильно работать ноутбук если настраивать невозможно написать в комментарий	8	Рабочее место / компьютер Ошибка	8	Рабочее место / компьютер Ошибка
добрый день помогать пожалуйста не получаться запускать приложение арм приложение устанавливать но после логин закрываться hq icfed com dfs crm callcenter имя пк amn112667 amn112667 hq icfed com	4	Другое	2	АРМ оператора (SD) Ошибка
добрый утро техподдержка система справочник не работать прикреплять скриншот просить решать проблема данные teamviewer логин 000 пароль 000000000	4	Другое	12	Справочные системы Ошибка
добрый утро зыков мария пк rzn30 23045667 крутить ерм номер обращение сотрудник проблема не устранять сотрудник не мочь совершать звонок через автодозвон теряться продуктивность работа просьба решать проблема спасибо	13	Телефония Ошибка	5	Единое Рабочее Место (ЕРМ) Ошибка
здравствовать необходимо присваивать внутренний номер новый сотрудник call центр даман даврон азим уголь https home action mcfr ru company personal user 117760 при вход в ерм с открытый cctray в cctray отображаться сообщение ожидание активация по ссылка	4	Другое	13	Телефония Ошибка
добрый утро коллега в система юрист не работать статья в журнал конкретно в раздел библиотека не работать статья в журнал юрист компания https www 1jur ru document 189 990995	12	Справочные системы Ошибка	12	Справочные системы Ошибка
добрый утро коллега просить предоставлять доступ к академия сс сотрудник заброд данил иванович orb 136	4	Другое	11	Справочные системы Доступы
добрый утро коллега справочный система не загружаться ни у сотрудник ни у клиент	12	Справочные системы Ошибка	12	Справочные системы Ошибка
добрый утро коллега просить решать проблема сстреть при завершение звонок когда выставляться счет трубка не сбрасываться белугин любовь павловна smr 093	13	Телефония Ошибка	5	Единое Рабочее Место (ЕРМ) Ошибка
добрый утро коллега у сотрудник не работать ерм	5	Единое Рабочее Место (ЕРМ) Ошибка	5	Единое Рабочее Место (ЕРМ) Ошибка
добрый утро коллега настраивать пожалуйста четкость изображение на экран	4	Другое	9	Рабочее место / компьютер Подключение
